ID,Modulo,Tela,Service,Repository,Persistencia,API,Status,Mock,ExternalDependency,RBAC,Testes,DesktopValidado,Problema,CorrecaoNecessaria,Prioridade
F01,Dashboard,DashboardControl.xaml,DatabaseService,N/A,"SQLite (Orcamentos, OrdensServico, Movimentacoes)",CORE,CORE,NAO,NAO,SIM (DASHBOARD_VER),PASS,SIM,Nenhum,Indicadores operacionais em tempo real,P4
F02,Clientes,"ClientesControl.xaml, NovoClienteWindow.xaml, EditarClienteWindow.xaml",CustomerService,ClienteRepository,SQLite (Clientes),NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (CLIENTES_VER/CRIAR/EDITAR/EXCLUIR),PASS,SIM,Nenhum,CRUD completo com validacao de CPF/CNPJ,P4
F03,Clientes,"VisualizarClienteWindow.xaml, HistoricoClienteWindow.xaml",Primox360Service,ClienteRepository,"SQLite (Clientes, Veiculos)",NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (CLIENTES_VER),PASS,SIM,Nenhum,Agregacao unificada por ClienteId,P4
F04,Clientes,VisualizarClienteWindow.xaml,ClienteRepository,ClienteRepository,SQLite (Clientes.ConsentimentoLGPD),NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (CLIENTES_EDITAR),PASS,SIM,Nenhum,Registro de consentimento LGPD auditavel,P4
F05,Veiculos,"VeiculosControl.xaml, NovoVeiculoWindow.xaml",VeiculoProfileService,ClienteRepository,SQLite (Veiculos),NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (VEICULOS_VER/CRIAR/EDITAR/EXCLUIR),PASS,SIM,Nenhum,Gestao de frotas leves e pesadas (12V/24V),P4
F06,Veiculos,VisualizarVeiculoWindow.xaml,AutoEletricaTecnicaService,ClienteRepository,"SQLite (Veiculos.Bateria, Alternador, etc.)",NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (VEICULOS_VER),PASS,SIM,Nenhum,17 campos de prontuario eletrico,P4
F07,Cliente 360,HistoricoClienteWindow.xaml,Primox360Service,"ClienteRepository, OrdemServicoRepository","SQLite (Clientes, Veiculos, OS, Orcamentos, ContasReceber)",NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (CLIENTES_VER),PASS,SIM,Nenhum,Linha do tempo consolidada e KPIs sem texto livre,P4
F08,Vehicle 360,VisualizarVeiculoWindow.xaml,Primox360Service,"ClienteRepository, OrdemServicoRepository","SQLite (Veiculos, OS, Orcamentos) + JSON Diagnosticos",NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (VEICULOS_VER),PASS,SIM,Nenhum,Linha do tempo tecnica e OS unificada,P4
F09,Pos-Venda,"LembretesRevisaoWindow.cs, GarantiaRetornosWindow.cs","PosVendaService, LembreteRevisaoService",OrdemServicoRepository,"JSON (pos-venda.json, lembretes-revisao.json)",NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (ORDENS_SERVICO_VER),PASS,SIM,Nenhum,"Estrutura completa de revisao, garantia, retorno e follow-up",P4
F10,Orcamentos,"OrcamentosControl.xaml, NovoOrcamentoWindow.xaml",OrcamentoDatabaseService,N/A,"SQLite (Orcamentos, OrcamentoItens)",CORE,CORE,NAO,NAO,SIM (ORCAMENTOS_VER/CRIAR/EDITAR/EXCLUIR),PASS,SIM,Nenhum,"Calculo de pecas, servicos e margens",P4
F11,Orcamentos,OrcamentosControl.xaml,OrcamentoAprovacaoService,N/A,SQLite (Orcamentos),CORE,CORE,NAO,NAO,SIM (ORCAMENTOS_EDITAR),PASS,SIM,Nenhum,Tokens e aprovacao com assinatura,P4
F12,Orcamentos,OrcamentosControl.xaml,OrcamentosViewModel,OrdemServicoRepository,"SQLite (Orcamentos, OrdensServico)",NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (ORCAMENTOS_CONVERTER_OS),PASS,SIM,Nenhum,Conversao 1:1 para OS sem redigitacao,P4
F13,Orcamentos,OrcamentosView.xaml,N/A,N/A,Nenhum,NOT_IMPLEMENTED,UI_ONLY,NAO,NAO,NAO,PASS,SIM,Botoes Email e Venda desabilitados com tooltips,Integracao SMTP / Gateway PDV,P3
F14,DVI,"DviOrcamentoWindow.xaml, OrdemServicoWindow.xaml",DviChecklistService,N/A,JSON Files (AppData/Dvi),NOT_IMPLEMENTED,PARTIAL,NAO,NAO,SIM (ORDENS_SERVICO_EDITAR),PASS,SIM,Persistencia em arquivos JSON locais,Manter JSON ou planejar tabela SQLite,P3
F15,DVI,N/A,N/A,N/A,Nenhum,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NAO,SIM,NAO,NOT_TESTED,NAO,Portal do cliente e aprovacao remota cloud inexistente,Planejar arquitetura Cloud na Trilha B,P2
F16,OrdensServico,"OrdensServicoControl.xaml, OrdemServicoWindow.xaml",DatabaseService,OrdemServicoRepository,"SQLite (OrdensServico, OrdemServicoItens, Eventos)",NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (ORDENS_SERVICO_VER/CRIAR/EDITAR/EXCLUIR),PASS,SIM,Nenhum,Gestao operacional completa de OS,P4
F17,OrdensServico,OrdemServicoWindow.xaml,DatabaseService,OrdemServicoRepository,"SQLite (Produtos, MovimentacoesEstoque)",NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (ORDENS_SERVICO_EDITAR),PASS,SIM,Nenhum,Baixa automatica ao finalizar OS,P4
F18,OrdensServico,OrdensServicoControl.xaml,FinanceiroDatabaseService,OrdemServicoRepository,"SQLite (ContasReceber, MovimentacoesFinanceiras)",NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (FINANCEIRO_RECEBER),PASS,SIM,Nenhum,Geracao de receita vinculada por Id,P4
F19,AutoEletricaTecnica,"AutoEletricaTecnicaControl.xaml, VisualizarVeiculoWindow.xaml",AutoEletricaTecnicaService,ClienteRepository,SQLite (Veiculos - 17 campos eletricos),NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (VEICULOS_VER),PASS,SIM,Nenhum,Prontuario eletrico estruturado 12V/24V,P4
F20,AutoEletricaTecnica,AutoEletricaTecnicaControl.xaml,DiagnosticoTecnicoService,N/A,JSON Files (AppData/AutoEletrica/diagnosticos/{Guid}.json),NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (VEICULOS_VER),PASS,SIM,Nenhum,Roteiros D01-D06 estruturados com vinculo VeiculoId e OrdemServicoId,P4
F21,AutoEletricaTecnica,AutoEletricaTecnicaControl.xaml,AutoEletricaRoteiroPersistService,N/A,JSON File (roteiros-resultados.json legado),NOT_IMPLEMENTED,PARTIAL,NAO,NAO,SIM (VEICULOS_VER),PASS,SIM,Base legada D07-D17 sem vinculo OS/Veiculo,Preservar integridade do historico legado,P3
F22,AutoEletricaTecnica,AutoEletricaTecnicaControl.xaml,SintomaCausaHistoricoService,OrdemServicoRepository,"SQLite (OrdensServico, OrdemServicoItens)",NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (VEICULOS_VER),PASS,SIM,Nenhum,Historico estruturado de defeitos,P4
F23,AutoEletricaTecnica,AutoEletricaTecnicaControl.xaml,DiagnosticoTecnicoService,N/A,JSON Files,NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (VEICULOS_VER),PASS,SIM,Nenhum,Ciclo pos-reparo com deltas calculados pelo sistema,P4
F24,Estoque,"EstoqueControl.xaml, NovoProdutoWindow.xaml, EditarProdutoWindow.xaml",EstoqueOperationalService,ProdutoRepository,SQLite (Produtos),CORE,CORE,NAO,NAO,SIM (ESTOQUE_VER/CRIAR/EDITAR/EXCLUIR),PASS,SIM,Nenhum,Catalogo operacional de pecas,P4
F25,Estoque,"AjusteEstoqueWindow.xaml, HistoricoEstoqueWindow.xaml",EstoqueOperationalService,ProdutoRepository,"SQLite (Produtos, MovimentacoesEstoque)",CORE,CORE,NAO,NAO,SIM (ESTOQUE_AJUSTAR),PASS,SIM,Nenhum,Rastreabilidade de movimentacoes de estoque,P4
F26,Estoque,"CatalogoPecasControl.xaml, RevisarCatalogoPecaWindow.xaml",CatalogoPecasService,N/A,"SQLite (CatalogoPecas, CatalogoPecaVeiculos)",NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (CATALOGO_VISUALIZAR),PASS,SIM,Nenhum,Catalogo master com 4.287 pecas,P4
F27,Estoque,ImportarCatalogoPecasWindow.xaml,CatalogoImportacaoService,N/A,"SQLite (CatalogoImportacoes, CatalogoImportacaoErros)",NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (CATALOGO_VISUALIZAR),PASS,SIM,Nenhum,Importacao estruturada de catalogos PDF/CSV,P4
F28,Estoque,TransferirEstoqueWindow.xaml,DatabaseService,ProdutoRepository,"SQLite (Produtos.Localizacao, Prateleira, Gaveta)",NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (ESTOQUE_EDITAR),PASS,SIM,Nenhum,Transferencia fisica de localizacao na oficina,P4
F29,Financeiro,FinanceiroControl.xaml,FinanceiroDatabaseService,N/A,SQLite (ContasPagar),NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (FINANCEIRO_VER/PAGAR),PASS,SIM,FornecedorId ausente em parte dos registros historicos,Preservar compatibilidade de leitura,P3
F30,Financeiro,FinanceiroControl.xaml,FinanceiroDatabaseService,N/A,SQLite (ContasReceber),NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (FINANCEIRO_VER/RECEBER),PASS,SIM,Nenhum,Vinculo por ClienteId e Origem OS,P4
F31,Financeiro,FinanceiroControl.xaml,FinanceiroDatabaseService,N/A,SQLite (MovimentacoesFinanceiras),CORE,CORE,NAO,NAO,SIM (FINANCEIRO_VER),PASS,SIM,Nenhum,Fluxo de caixa e conciliacao,P4
F32,Caixa,OperacaoCaixaWindow.xaml,CaixaService,N/A,"SQLite (CaixaSessoes, MovimentacoesCaixa)",NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (CAIXA_ABRIR/FECHAR/SANGRIA/SUPRIMENTO),PASS,SIM,Nenhum,Controle de caixa por sessao,P4
F33,PDV,"PDVControl.xaml, SelecionarVendaWindow.xaml",VendaBalcaoService,ProdutoRepository,"SQLite (Vendas, VendaItens)",NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (PDV_OPERAR),PASS,SIM,Nenhum,Venda rapida de balcao com baixa de estoque,P4
F34,Agendamentos,"AgendamentosControl.xaml, NovoAgendamentoPremiumWindow.xaml",AgendamentoService,N/A,SQLite (Agendamentos),NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (AGENDAMENTOS_VER/CRIAR/EDITAR/CANCELAR),PASS,SIM,Nenhum,Gestao de box e agenda com vinculo Cliente e Veiculo,P4
F35,Agendamentos,AgendamentosControl.xaml,AgendamentoNotificacaoService,N/A,SQLite (Agendamentos),NOT_IMPLEMENTED,PARTIAL,NAO,NAO,SIM (AGENDAMENTOS_VER),PASS,SIM,Notificacao em tela funcional; SMS/WhatsApp agendado pendente,Integrar webhook bot,P3
F36,Fornecedores,"FornecedoresControl.xaml, NovoFornecedorWindow.xaml, EditarFornecedorWindow.xaml, VisualizarFornecedorWindow.xaml",FornecedorService,FornecedorRepository,SQLite (Fornecedores),NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (FORNECEDORES_VER/CRIAR/EDITAR/EXCLUIR),PASS,SIM,Nenhum,Gestao cadastral de fornecedores,P4
F37,Fornecedores,FornecedoresControl.xaml,PedidoFornecedorService,N/A,"SQLite (PedidosFornecedor, PedidoFornecedorItens)",NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (FORNECEDORES_EDITAR),PASS,SIM,Nenhum,Cotacao e pedido de reposicao de pecas,P4
F38,Funcionarios,"FuncionariosControl.xaml, NovoFuncionarioWindow.xaml, EditarFuncionarioWindow.xaml",FuncionarioService,FuncionarioRepository,SQLite (Funcionarios),NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (FUNCIONARIOS_VER/CRIAR/EDITAR/EXCLUIR),PASS,SIM,Nenhum,Gestao de tecnicos e colaboradores,P4
F39,Seguranca,"GerenciarPerfisWindow.xaml, NovoPerfilWindow.xaml, ConfigurarPermissoesWindow.xaml",PermissionService,PerfisAcessoRepository,"SQLite (PerfisAcesso, Permissoes)",NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (USUARIOS_GERENCIAR),PASS,SIM,Nenhum,RBAC fail-closed com 10 perfis e 82 permissoes,P4
F40,Seguranca,"LoginWindow.xaml, UsuariosOnlineWindow.xaml",SessaoService,N/A,SQLite (SessoesAtivas),CORE,CORE,NAO,NAO,PUBLIC (LOGIN),PASS,SIM,Nenhum,Autenticacao PBKDF2 e sessoes ativas,P4
F41,Seguranca,"ConfirmacaoCriticaWindow.xaml, AdminPasswordConfirmationWindow.xaml",PermissionService,N/A,Memoria / Sessao,NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (AUTORIZACAO_SUDO),PASS,SIM,Nenhum,Confirmacao de senha para acoes destrutivas,P4
F42,Backup,ConfiguracoesSistemaWindow.xaml,DatabaseBackupService,N/A,SQLite Online Backup API,CORE,CORE,NAO,NAO,SIM (SISTEMA_CONFIGURAR),PASS,SIM,Nenhum,Backup consistente e deteccao de corrupcao,P4
F43,Relatorios,"RelatoriosControl.xaml, RelatorioVendasWindow.xaml",RelatorioService,N/A,SQLite Agregacoes,NOT_IMPLEMENTED,CORE,NAO,NAO,SIM (RELATORIOS_VER),PASS,SIM,Nenhum,"Relatorios de vendas, OS e fechamento",P4
F44,Relatorios,RelatoriosControl.xaml,RelatorioExportService,N/A,PDF / CSV,NOT_IMPLEMENTED,PARTIAL,NAO,NAO,SIM (RELATORIOS_EXPORTAR),PASS,SIM,Exportacao CSV operacional; BI customizado parcial,Evoluir gerador de templates,P3
F45,Fiscal,"ImportarNFeControl.xaml, ImportarNotaWindow.xaml",NFeImportService,N/A,XML Parse / SQLite (Produtos),NOT_IMPLEMENTED,PARTIAL,NAO,NAO,SIM (FISCAL_IMPORTAR_XML),PASS,SIM,Leitura e conferencia de XML pronta; entrada de lote assistida,Finalizar vinculo automatico de estoque,P3
F46,Fiscal,N/A,"NFeEmissionService, FiscalProductionGuard",N/A,XML / Schemas SEFAZ,NOT_IMPLEMENTED,EXTERNAL_DEPENDENCY,NAO,SIM,SIM (FISCAL_EMITIR),PASS (Homologacao),NAO,ProductionEmissionAllowed=false bloqueado por seguranca,Contratar A1 e credenciar SEFAZ,P2
