ID,Nome,Modulo,StatusB4,StatusTecnicoAtual,StatusComercial,Dependencia,Bloqueador,Teste,Documentacao,Observacao
F01,Dashboard Operacional,Dashboard,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (18 tests),B4_PRODUCT_INVENTORY.md,"KPIs de faturamento, OS abertas e agenda em tempo real"
F02,Clientes CRUD Completo,Clientes,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (42 tests),B4_PRODUCT_INVENTORY.md,Base cadastral com validacao estrita de CPF/CNPJ
F03,Clientes Visualizacao e Historico,Clientes,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (12 tests),B4_CLIENT360_AUDIT.md,Agrupamento relacional estrito por ClienteId
F04,Clientes Consentimento LGPD,Clientes,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (6 tests),B4_CLIENT360_AUDIT.md,Registro auditavel de termo de consentimento LGPD
F05,Veiculos Cadastro e Frotas,Veiculos,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (35 tests),B4_PRODUCT_INVENTORY.md,Gestao de veiculos leves (12V) e pesados (24V)
F06,Veiculos Prontuario Eletrico,Veiculos,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (14 tests),B4_VEHICLE360_TECHNICAL_HISTORY.md,17 campos tecnicos de especificacao eletrica
F07,Cliente 360,Cliente 360,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (16 tests),B4_CLIENT360_AUDIT.md,"Visao unificada de veiculos, OS, orcamentos e financeiro"
F08,Vehicle 360,Vehicle 360,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (19 tests),B4_VEHICLE360_TECHNICAL_HISTORY.md,"Linha do tempo tecnica, historico de OS e diagnosticos"
F09,Pos-Venda Unificado,Pos-Venda,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (5 tests),B4_POS_VENDA.md,"Estrutura de garantias, retornos e revisoes preventivas"
F10,Orcamentos Calculo e Margens,Orcamentos,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (28 tests),B4_PRODUCT_INVENTORY.md,"Calculo automatico de pecas, servicos, descontos e margens"
F11,Orcamentos Fluxo de Aprovacao,Orcamentos,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (8 tests),B4_PRODUCT_INVENTORY.md,Aprovacao com geracao de token e assinatura
F12,Orcamento para OS Conversao,Orcamentos,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (10 tests),B4_360_END_TO_END.md,Conversao 1:1 sem redigitacao nem perda de dados
F13,Orcamento Acoes Avulsas (Email/Venda),Orcamentos,UI_ONLY,UI_ONLY,POST_RELEASE,Provedor SMTP / PDV Balcao,Botoes desabilitados com tooltip,PASS (Smoke),B4_PRODUCT_INVENTORY.md,Envio direto de proposta por e-mail e venda balcao
F14,DVI Inspecao Visual Digital Local,DVI,PARTIAL,PARTIAL,RELEASE_RECOMMENDED,Armazenamento local imagens,Persistencia JSON local em vez de SQLite,PASS (14 tests),B4_360_END_TO_END.md,Checklist com marcacao de avarias e fotos locais
F15,DVI Portal Remoto / Nuvem,DVI,NOT_IMPLEMENTED,NOT_IMPLEMENTED,FUTURE,Servidor Cloud / Storage S3,Infraestrutura cloud inexistente,NOT_TESTED,B5_0_CLOUD_ROADMAP.md,Portal web para aprovacao externa pelo cliente
F16,Ordens de Servico Gestao Completa,OrdensServico,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (45 tests),B4_PRODUCT_INVENTORY.md,"Ciclo de vida operacional: Abertura, Execucao, Conclusao"
F17,Ordens de Servico Baixa de Estoque,OrdensServico,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (12 tests),B4_PRODUCT_INVENTORY.md,Baixa de itens do estoque vinculada a finalizacao da OS
F18,Ordens de Servico Faturamento Integrado,OrdensServico,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (15 tests),B4_PRODUCT_INVENTORY.md,Geracao automatica de Contas a Receber vinculadas por Id
F19,Autoeletrica Prontuario Eletrico 12V/24V,AutoEletricaTecnica,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (14 tests),B4_VEHICLE360_TECHNICAL_HISTORY.md,Diferencial de diagnostico estruturado para linhas leve e pesada
F20,Autoeletrica Diagnostico D01-D06,AutoEletricaTecnica,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (22 tests),B4_VEHICLE360_TECHNICAL_HISTORY.md,6 roteiros tecnicos padronizados com medicao e delta
F21,Autoeletrica Roteiros Legados D07-D17,AutoEletricaTecnica,PARTIAL,PARTIAL,PILOT_REQUIRED,roteiros-resultados.json,Sem vinculo relacional estrito por OS Id,PASS (8 tests),B4_VEHICLE360_TECHNICAL_HISTORY.md,Base de conhecimento de roteiros tecnicos legados preservada
F22,Autoeletrica Grandezas Eletricas,AutoEletricaTecnica,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (16 tests),B4_VEHICLE360_TECHNICAL_HISTORY.md,"Tensao, Corrente, Fuga, Resistencia, CCA, Duty Cycle, Pressao"
F23,Autoeletrica Teste Pos-Reparo e Delta,AutoEletricaTecnica,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (11 tests),B4_360_END_TO_END.md,Calculo automatico de variacao eletrica pos-conserto
F24,Estoque Cadastro de Produtos,Estoque,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (26 tests),B4_PRODUCT_INVENTORY.md,"Cadastro completo com precos, margem e estoque minimo"
F25,Estoque Movimentacoes e Kardex,Estoque,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (18 tests),B4_PRODUCT_INVENTORY.md,"Rastreabilidade de entradas, saidas e ajustes"
F26,Estoque Catalogo Tecnico e Aplicacao,Estoque,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (14 tests),B4_PRODUCT_INVENTORY.md,Catalogo de pecas com codigos cruzados e aplicacao veicular
F27,Estoque Importacao XML Fornecedor,Estoque,CORE,CORE,RELEASE_REQUIRED,XML de Fornecedor,Nenhum,PASS (9 tests),B4_PRODUCT_INVENTORY.md,Entrada expressa de estoque e precos a partir de NF-e recebida
F28,Estoque Localizacao Fisica (Gaveteiro),Estoque,CORE,CORE,RELEASE_RECOMMENDED,Nenhuma,Nenhum,PASS (5 tests),B4_PRODUCT_INVENTORY.md,"Enderecamento fisico por Corredor, Prateleira e Gaveta"
F29,Financeiro Contas a Pagar,Financeiro,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (18 tests),B4_MONEY_FINAL_RUNTIME_AUDIT.md,"Controle de titulos, boletos, despesas e fornecedores"
F30,Financeiro Contas a Receber,Financeiro,CORE,CORE,RELEASE_REQUIRED,Nenhuma,Nenhum,PASS (20 tests),B4_MONEY_FINAL_RUNTIME_AUDIT.md,"Faturamento, baixas totais/parciais e juros/descontos"
