ID,Tipo,Subtipo,Nome,Arquivo,Camada,Categoria,Acoes_Botoes,Persistencia,Status_B5_4,Status_B5_5,Observacao
INV-0001,UI_WINDOW_VIEW,Modal/Window/View,AdicionarFornecedorDialog,Views\AdicionarFornecedorDialog.xaml,Presentation,Cadastros,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0002,UI_WINDOW_VIEW,Modal/Window/View,AdminPasswordConfirmationWindow,Views\AdminPasswordConfirmationWindow.xaml,Presentation,Operação,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0003,UI_WINDOW_VIEW,Modal/Window/View,AjusteEstoqueWindow,Views\AjusteEstoqueWindow.xaml,Presentation,Cadastros,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0004,UI_WINDOW_VIEW,Modal/Window/View,AssinaturaDigitalWindow,Views\AssinaturaDigitalWindow.xaml,Presentation,Operação,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0005,UI_WINDOW_VIEW,Modal/Window/View,AtalhosTecladoWindow,Views\AtalhosTecladoWindow.xaml,Presentation,Ajuda,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0006,UI_WINDOW_VIEW,Modal/Window/View,AtualizacaoWindow,Views\AtualizacaoWindow.xaml,Presentation,Sistema,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0007,UI_WINDOW_VIEW,Modal/Window/View,BackupSettingsWindow,Views\BackupSettingsWindow.xaml,Presentation,Sistema,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0008,UI_WINDOW_VIEW,Modal/Window/View,ChecklistTecnicoWindow,Views\ChecklistTecnicoWindow.xaml,Presentation,Operação,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0009,UI_WINDOW_VIEW,Modal/Window/View,CommandPaletteWindow,Views\CommandPaletteWindow.xaml,Presentation,Operação,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0010,UI_WINDOW_VIEW,Modal/Window/View,ConfiguracoesSistemaWindow,Views\ConfiguracoesSistemaWindow.xaml,Presentation,Operação,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0011,UI_WINDOW_VIEW,Modal/Window/View,ConfigurarPermissoesWindow,Views\ConfigurarPermissoesWindow.xaml,Presentation,Sistema,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0012,UI_WINDOW_VIEW,Modal/Window/View,ConfirmacaoCriticaWindow,Views\ConfirmacaoCriticaWindow.xaml,Presentation,Operação,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0013,UI_WINDOW_VIEW,Modal/Window/View,DviOrcamentoWindow,Views\DviOrcamentoWindow.xaml,Presentation,Operação,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0014,UI_WINDOW_VIEW,Modal/Window/View,EditarFornecedorWindow,Views\EditarFornecedorWindow.xaml,Presentation,Cadastros,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0015,UI_WINDOW_VIEW,Modal/Window/View,EditarFuncionarioWindow,Views\EditarFuncionarioWindow.xaml,Presentation,Cadastros,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0016,UI_WINDOW_VIEW,Modal/Window/View,EditarProdutoWindow,Views\EditarProdutoWindow.xaml,Presentation,Operação,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0017,UI_WINDOW_VIEW,Modal/Window/View,FriendlyErrorWindow,Views\FriendlyErrorWindow.xaml,Presentation,Operação,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0018,UI_WINDOW_VIEW,Modal/Window/View,GerenciarPerfisWindow,Views\GerenciarPerfisWindow.xaml,Presentation,Operação,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0019,UI_WINDOW_VIEW,Modal/Window/View,HistoricoClienteWindow,Views\HistoricoClienteWindow.xaml,Presentation,Cadastros,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0020,UI_WINDOW_VIEW,Modal/Window/View,HistoricoEstoqueWindow,Views\HistoricoEstoqueWindow.xaml,Presentation,Cadastros,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0021,UI_WINDOW_VIEW,Modal/Window/View,ImportarCatalogoPecasWindow,Views\ImportarCatalogoPecasWindow.xaml,Presentation,Cadastros,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0022,UI_WINDOW_VIEW,Modal/Window/View,ImportarNotaWindow,Views\ImportarNotaWindow.xaml,Presentation,Operação,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0023,UI_WINDOW_VIEW,Modal/Window/View,LicenseActivationWindow,Views\LicenseActivationWindow.xaml,Presentation,Sistema,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0024,UI_WINDOW_VIEW,Modal/Window/View,LoginWindow,Views\LoginWindow.xaml,Presentation,Operação,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0025,UI_WINDOW_VIEW,Modal/Window/View,NovoAgendamentoPremiumWindow,Views\NovoAgendamentoPremiumWindow.xaml,Presentation,Operação,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
INV-0026,UI_WINDOW_VIEW,Modal/Window/View,NovoFornecedorWindow,Views\NovoFornecedorWindow.xaml,Presentation,Cadastros,,SQLite,PASS,HOMOLOGADO,Mapeado e homologado no fluxo 360 / UI Engine ()
