Perfil,ID,TarefasDiarias,TelasAcessadas,PermissoesAtivas,DadosSensiveisVisiveis,AcoesCriticasPermitidas
Administrador,1,"Gestao total da empresa, configuracoes criticas, auditoria e backups",Todas as telas do sistema irrestritas,82 / 82 (100%),"Todos (Custos, margens, saldos de caixa, dados pessoais)","Configuracao de banco, restore, alteracao de permissoes, exclusao de registros"
Gerente,2,"Supervisao operacional da oficina, aprovacoes de orcamento e relatorios","Dashboard, Clientes, Veiculos, Orcamentos, OS, Estoque, Financeiro, Relatorios",77 / 82 (93.9%),"Custos, margens de lucro, relatorios de faturamento","Aprovacao de orcamentos, concessao de descontos especiais, estornos"
Mecanico,3,"Execucao tecnica de servicos, diagnostico, checklist e medicao em OS","Ordens de Servico, Diagnostico Tecnico, Checklist, Vehicle360",10 / 82 (12.2%),"Historico tecnico do veiculo, pecas aplicadas na OS","Apontamento de horas, registro de medicoes e conclusao tecnica"
Ajudante / Auxiliar,4,"Apoio a desmontagem, lavagem de pecas e organizacao da oficina",Ordens de Servico (Apenas consulta basica),6 / 82 (7.3%),Modelo do veiculo e servicos pendentes,Nenhuma acao critica permitida
Vendedor / Recepcao,5,"Atendimento ao cliente, abertura de orcamento e agendamentos","Clientes, Veiculos, Orcamentos, Agendamentos, Client360, PDV",30 / 82 (36.6%),"Dados cadastrais de clientes, precos de venda","Criacao de orcamentos, cadastro de clientes, agendamento de patio"
Caixa,6,"Recebimento de pagamentos, abertura e fechamento de turno","PDV Balcao, Caixa Operacional, Contas a Receber",18 / 82 (22.0%),"Valores a receber, saldos em dinheiro/pix do turno","Abertura/fechamento de caixa, sangria, suprimento e recebimentos"
Estoquista,7,"Entrada de notas fiscais, conferencia de mercadorias e catalogo","Estoque, Produtos, Movimentacoes, Catalogo Tecnico, Fornecedores",16 / 82 (19.5%),"Precos de custo de pecas, quantidades em estoque","Entrada de XML de compras, cadastro de pecas e enderecamento"
Almoxarife,8,Dispensacao de pecas para mecânicos e contagem de inventario,"Estoque, Movimentacoes, Requisicoes de Pecas em OS",16 / 82 (19.5%),"Posicao fisica de pecas (gavetas), saldos de estoque","Requisicao de pecas para OS, ajuste de contagem fisica"
Financeiro,9,"Contas a pagar, fluxo de caixa, conciliacao e relatorios contabeis","Contas a Pagar, Contas a Receber, Fluxo de Caixa, Relatorios",7 / 82 (8.5%),"Extrato bancario, despesas, fornecedores, faturamento","Liquidacao de titulos, baixa de boletos e emissao de relatorios financeiros"
Tecnico / Eletricista,10,"Diagnostico avancado de alternadores, motores de partida e chicotes","AutoEletricaTecnica, Diagnostico D01-D06, Vehicle360, OS",12 / 82 (14.6%),"Prontuario eletrico 12V/24V, leituras tecnicas","Registro de grandezas eletricas, teste pos-reparo e laudo"
