ID,Categoria,Tela,Arquivo,ViewModel,Menu,Submenu,Botão,Comando,Modal associado,Função,CRUD,Persistência,Risco,Testável,Testado,Resultado,Observação
UI-001,Cadastros,AdicionarFornecedorDialog,Views\AdicionarFornecedorDialog.xaml,,Cadastros,AdicionarFornecedorDialog,Nao,NaoButton_Click,AdicionarFornecedorDialog,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 2
UI-002,Operação,AdminPasswordConfirmationWindow,Views\AdminPasswordConfirmationWindow.xaml,,Operação,AdminPasswordConfirmationWindow,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",BtnCancelar_Click,AdminPasswordConfirmationWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 3
UI-003,Cadastros,AjusteEstoqueWindow,Views\AjusteEstoqueWindow.xaml,,Cadastros,AjusteEstoqueWindow,Salvar ajustes,SalvarButton_Click,AjusteEstoqueWindow,Diálogo Modal de Interação,UPDATE,SQLite,Médio,SIM,SIM,PASS,Controles interativos mapeados: 25
UI-004,Operação,AssinaturaDigitalWindow,Views\AssinaturaDigitalWindow.xaml,,Operação,AssinaturaDigitalWindow,"{Binding Source={StaticResource LocalizationHelper}, Path=[Clear]}",LimparButton_Click,AssinaturaDigitalWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 3
UI-005,Ajuda,AtalhosTecladoWindow,Views\AtalhosTecladoWindow.xaml,,Ajuda,AtalhosTecladoWindow,"{Binding Source={StaticResource LocalizationHelper}, Path=[Close]}",Fechar_Click,AtalhosTecladoWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 1
UI-006,Sistema,AtualizacaoWindow,Views\AtualizacaoWindow.xaml,,Sistema,AtualizacaoWindow,Verificar Atualizações,CheckUpdateButton_Click,AtualizacaoWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 3
UI-007,Sistema,BackupSettingsWindow,Views\BackupSettingsWindow.xaml,,Sistema,BackupSettingsWindow,...,,BackupSettingsWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 21
UI-008,Operação,ChecklistTecnicoWindow,Views\ChecklistTecnicoWindow.xaml,,Operação,ChecklistTecnicoWindow,✕,FecharButton_Click,ChecklistTecnicoWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 18
UI-009,Operação,CommandPaletteWindow,Views\CommandPaletteWindow.xaml,,Operação,CommandPaletteWindow,,,CommandPaletteWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 1
UI-010,Operação,ConfiguracoesSistemaWindow,Views\ConfiguracoesSistemaWindow.xaml,,Operação,ConfiguracoesSistemaWindow,X,FecharButton_Click,ConfiguracoesSistemaWindow,Diálogo Modal de Interação,READ,SQLite,Baixo,SIM,SIM,PASS,Controles interativos mapeados: 7
