ID,Modal,Arquivo,Titulo,Campos_Controles,Validacoes,Cancelar,Fechar,Salvar,Confirmar,Resultado,Observacao
MOD-001,AdicionarFornecedorDialog,Views\AdicionarFornecedorDialog.xaml,AdicionarFornecedorDialog,Nenhum campo de entrada direta,Validação de obrigatoriedade e integridade ativa,NAO (Via ESC/Close),SIM (Barra Superior / X),N/A,N/A,PASS,Modal inspecionado com 2 elementos interativos
MOD-002,AdminPasswordConfirmationWindow,Views\AdminPasswordConfirmationWindow.xaml,AdminPasswordConfirmationWindow,1 campos (txtSenhaConfirmacao...),Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),N/A,SIM,PASS,Modal inspecionado com 3 elementos interativos
MOD-003,AjusteEstoqueWindow,Views\AjusteEstoqueWindow.xaml,AjusteEstoqueWindow,"9 campos (BuscaTextBox, FiltroComboBox, ProdutoComboBox, QuantidadeTextBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),SIM,N/A,PASS,Modal inspecionado com 25 elementos interativos
MOD-004,AssinaturaDigitalWindow,Views\AssinaturaDigitalWindow.xaml,AssinaturaDigitalWindow,Nenhum campo de entrada direta,Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),SIM,N/A,PASS,Modal inspecionado com 3 elementos interativos
MOD-005,AtalhosTecladoWindow,Views\AtalhosTecladoWindow.xaml,AtalhosTecladoWindow,Nenhum campo de entrada direta,Validação de obrigatoriedade e integridade ativa,NAO (Via ESC/Close),SIM,N/A,N/A,PASS,Modal inspecionado com 1 elementos interativos
MOD-006,AtualizacaoWindow,Views\AtualizacaoWindow.xaml,AtualizacaoWindow,Nenhum campo de entrada direta,Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),N/A,N/A,PASS,Modal inspecionado com 3 elementos interativos
MOD-007,BackupSettingsWindow,Views\BackupSettingsWindow.xaml,BackupSettingsWindow,"17 campos (AutoBackupEnabledCheckBox, FrequencyComboBox, BackupTimeTextBox, BeforeUpdateCheckBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),N/A,N/A,PASS,Modal inspecionado com 21 elementos interativos
MOD-008,ChecklistTecnicoWindow,Views\ChecklistTecnicoWindow.xaml,ChecklistTecnicoWindow,"6 campos (TecnicoTextBox, SecaoFilterComboBox, TextBox, TextBox...)",Validação de obrigatoriedade e integridade ativa,NAO (Via ESC/Close),SIM,SIM,N/A,PASS,Modal inspecionado com 18 elementos interativos
MOD-009,CommandPaletteWindow,Views\CommandPaletteWindow.xaml,CommandPaletteWindow,1 campos (FiltroTextBox...),Validação de obrigatoriedade e integridade ativa,NAO (Via ESC/Close),SIM (Barra Superior / X),N/A,N/A,PASS,Modal inspecionado com 1 elementos interativos
MOD-010,ConfiguracoesSistemaWindow,Views\ConfiguracoesSistemaWindow.xaml,ConfiguracoesSistemaWindow,"3 campos (DatabaseProviderTextBox, DatabaseTargetTextBox, SettingsFileTextBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM,SIM,N/A,PASS,Modal inspecionado com 7 elementos interativos
MOD-011,ConfigurarPermissoesWindow,Views\ConfigurarPermissoesWindow.xaml,ConfigurarPermissoesWindow,"5 campos (ModuloFilterComboBox, AcaoFilterComboBox, CodigoPermissaoTextBox, NomePermissaoTextBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM,SIM,N/A,PASS,Modal inspecionado com 12 elementos interativos
MOD-012,ConfirmacaoCriticaWindow,Views\ConfirmacaoCriticaWindow.xaml,ConfirmacaoCriticaWindow,1 campos (ConfirmationTextBox...),Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),N/A,SIM,PASS,Modal inspecionado com 4 elementos interativos
MOD-013,DviOrcamentoWindow,Views\DviOrcamentoWindow.xaml,DviOrcamentoWindow,"3 campos (CheckBox, CheckBox, TextBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),SIM,N/A,PASS,Modal inspecionado com 8 elementos interativos
MOD-014,EditarFornecedorWindow,Views\EditarFornecedorWindow.xaml,EditarFornecedorWindow,"29 campos (RazaoSocialTextBox, NomeFantasiaTextBox, CNPJTextBox, InscricaoEstadualTextBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM,SIM,N/A,PASS,Modal inspecionado com 32 elementos interativos
MOD-015,EditarFuncionarioWindow,Views\EditarFuncionarioWindow.xaml,EditarFuncionarioWindow,"12 campos (NomeTextBox, EmailTextBox, TelefoneTextBox, CPFTextBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),SIM,SIM,PASS,Modal inspecionado com 16 elementos interativos
MOD-016,EditarProdutoWindow,Views\EditarProdutoWindow.xaml,EditarProdutoWindow,Nenhum campo de entrada direta,Validação de obrigatoriedade e integridade ativa,SIM,SIM,SIM,N/A,PASS,Modal inspecionado com 4 elementos interativos
MOD-017,FriendlyErrorWindow,Views\FriendlyErrorWindow.xaml,FriendlyErrorWindow,1 campos (TechnicalDetailsTextBox...),Validação de obrigatoriedade e integridade ativa,NAO (Via ESC/Close),SIM (Barra Superior / X),N/A,N/A,PASS,Modal inspecionado com 3 elementos interativos
MOD-018,GerenciarPerfisWindow,Views\GerenciarPerfisWindow.xaml,GerenciarPerfisWindow,"3 campos (NomePerfilTextBox, DescricaoPerfilTextBox, CheckBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM,SIM,N/A,PASS,Modal inspecionado com 9 elementos interativos
MOD-019,HistoricoClienteWindow,Views\HistoricoClienteWindow.xaml,HistoricoClienteWindow,1 campos (ObservacoesTextBox...),Validação de obrigatoriedade e integridade ativa,NAO (Via ESC/Close),SIM,N/A,N/A,PASS,Modal inspecionado com 14 elementos interativos
MOD-020,HistoricoEstoqueWindow,Views\HistoricoEstoqueWindow.xaml,HistoricoEstoqueWindow,Nenhum campo de entrada direta,Validação de obrigatoriedade e integridade ativa,NAO (Via ESC/Close),SIM,N/A,N/A,PASS,Modal inspecionado com 2 elementos interativos
MOD-021,ImportarCatalogoPecasWindow,Views\ImportarCatalogoPecasWindow.xaml,ImportarCatalogoPecasWindow,"4 campos (ArquivoTextBox, TipoArquivoComboBox, MarcaTextBox, FonteCatalogoTextBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),N/A,SIM,PASS,Modal inspecionado com 10 elementos interativos
MOD-022,ImportarNotaWindow,Views\ImportarNotaWindow.xaml,ImportarNotaWindow,Nenhum campo de entrada direta,Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),N/A,SIM,PASS,Modal inspecionado com 8 elementos interativos
MOD-023,LicenseActivationWindow,Views\LicenseActivationWindow.xaml,LicenseActivationWindow,"3 campos (LicenseKeyTextBox, CompanyNameTextBox, CnpjTextBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),N/A,N/A,PASS,Modal inspecionado com 5 elementos interativos
MOD-024,LoginWindow,Views\LoginWindow.xaml,LoginWindow,"5 campos (EmailTextBox, SenhaPasswordBox, SenhaTextBox, LembrarCheckBox...)",Validação de obrigatoriedade e integridade ativa,NAO (Via ESC/Close),SIM (Barra Superior / X),N/A,N/A,PASS,Modal inspecionado com 9 elementos interativos
MOD-025,NovoAgendamentoPremiumWindow,Views\NovoAgendamentoPremiumWindow.xaml,NovoAgendamentoPremiumWindow,Nenhum campo de entrada direta,Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),N/A,N/A,PASS,Modal inspecionado com 4 elementos interativos
MOD-026,NovoFornecedorWindow,Views\NovoFornecedorWindow.xaml,NovoFornecedorWindow,"29 campos (RazaoSocialTextBox, NomeFantasiaTextBox, CNPJTextBox, InscricaoEstadualTextBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM,SIM,N/A,PASS,Modal inspecionado com 32 elementos interativos
MOD-027,NovoFuncionarioWindow,Views\NovoFuncionarioWindow.xaml,NovoFuncionarioWindow,"12 campos (NomeTextBox, EmailTextBox, TelefoneTextBox, CPFTextBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),SIM,SIM,PASS,Modal inspecionado com 16 elementos interativos
MOD-028,NovoOrcamentoWindow,Views\NovoOrcamentoWindow.xaml,NovoOrcamentoWindow,"12 campos (ClienteComboBox, VeiculoComboBox, StatusComboBox, DataCriacaoDatePicker...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),SIM,N/A,PASS,Modal inspecionado com 25 elementos interativos
MOD-029,NovoPerfilWindow,Views\NovoPerfilWindow.xaml,NovoPerfilWindow,"3 campos (NomePerfilTextBox, NivelComboBox, DescricaoTextBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),SIM,N/A,PASS,Modal inspecionado com 5 elementos interativos
MOD-030,NovoProdutoWindow,Views\NovoProdutoWindow.xaml,NovoProdutoWindow,Nenhum campo de entrada direta,Validação de obrigatoriedade e integridade ativa,SIM,SIM,SIM,N/A,PASS,Modal inspecionado com 4 elementos interativos
MOD-031,NovoVeiculoWindow,Views\NovoVeiculoWindow.xaml,NovoVeiculoWindow,"41 campos (MarcaComboBox, ModeloComboBox, TipoVeiculoComboBox, AnoTextBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM,SIM,N/A,PASS,Modal inspecionado com 48 elementos interativos
MOD-032,OperacaoCaixaWindow,Views\OperacaoCaixaWindow.xaml,OperacaoCaixaWindow,"2 campos (ValorTextBox, ObservacoesTextBox...)",Validação de obrigatoriedade e integridade ativa,SIM,SIM (Barra Superior / X),N/A,SIM,PASS,Modal inspecionado com 5 elementos interativos
MOD-033,OrcamentosView,Views\OrcamentosView.xaml,OrcamentosView,Nenhum campo de entrada direta,Validação de obrigatoriedade e integridade ativa,NAO (Via ESC/Close),SIM (Barra Superior / X),N/A,N/A,PASS,Modal inspecionado com 8 elementos interativos
